575,PS1,,,139.7674085,35.69166635,1
857,PS2,,,139.7710279,35.68080586,1
1149,PS3,,,139.7519331,35.67043683,1
1491,PS4,,,139.7527582,35.66050509,1
2001,PS5,,,139.7375009,35.64848477,1
2336,PS6,,,139.734033,35.68882124,1
2657,PS7,,,139.7439181,35.69982068,1
2899,PS8,,,139.7321097,35.6967042,1
3177,PS9,,,139.7101132,35.69141534,1
3453,PS10,,,139.7007244,35.70145376,1
576,PS1,,,139.7673974,35.69161609,2
858,PS2,,,139.7710002,35.68076003,2
1150,PS3,,,139.7519112,35.67038894,2
1492,PS4,,,139.752746,35.66045497,2
2002,PS5,,,139.7375565,35.64846093,2
2337,PS6,,,139.7340537,35.688773,2
2658,PS7,,,139.7438854,35.69977705,2
2900,PS8,,,139.732106,35.69665322,2
3178,PS9,,,139.7101072,35.6913645,2
3454,PS10,,,139.700787,35.70144886,2
577,PS1,,,139.7673862,35.69156582,3
859,PS2,,,139.7709724,35.6807142,3
1151,PS3,,,139.7518893,35.67034105,3
1493,PS4,,,139.7527338,35.66040484,3
2003,PS5,,,139.7376121,35.64843709,3
2338,PS6,,,139.7340744,35.68872477,3
2659,PS7,,,139.7438528,35.69973341,3
2901,PS8,,,139.7321023,35.69660224,3
3179,PS9,,,139.7101012,35.69131366,3
3455,PS10,,,139.7008496,35.70144396,3
578,PS1,,,139.7673751,35.69151556,4
860,PS2,,,139.7709446,35.68066837,4
1152,PS3,,,139.7518674,35.67029316,4
1494,PS4,,,139.7527217,35.66035472,4
2004,PS5,,,139.7376677,35.64841325,4
2339,PS6,,,139.7340951,35.68867654,4
2660,PS7,,,139.7438201,35.69968977,4
2902,PS8,,,139.7320986,35.69655126,4
3180,PS9,,,139.7100952,35.69126282,4
3456,PS10,,,139.7009122,35.70143907,4
579,PS1,,,139.767364,35.6914653,5
861,PS2,,,139.7709169,35.68062254,5
1153,PS3,,,139.7518456,35.67024526,5
1495,PS4,,,139.7527095,35.66030459,5
2005,PS5,,,139.7377233,35.64838941,5
2340,PS6,,,139.7341158,35.68862831,5
2661,PS7,,,139.7437875,35.69964614,5
2903,PS8,,,139.7320949,35.69650028,5
3181,PS9,,,139.7100892,35.69121199,5
3457,PS10,,,139.7009748,35.70143417,5
580,PS1,,,139.7673528,35.69141503,6
862,PS2,,,139.7708891,35.68057671,6
1154,PS3,,,139.7518237,35.67019737,6
1496,PS4,,,139.7526973,35.66025447,6
2006,PS5,,,139.737779,35.64836557,6
2341,PS6,,,139.7341364,35.68858007,6
2662,PS7,,,139.7437548,35.6996025,6
2904,PS8,,,139.7320912,35.6964493,6
3182,PS9,,,139.7100832,35.69116115,6
3458,PS10,,,139.7010374,35.70142927,6
581,PS1,,,139.7673417,35.69136477,7
863,PS2,,,139.7708614,35.68053088,7
1155,PS3,,,139.7518018,35.67014948,7
1497,PS4,,,139.7526852,35.66020434,7
2007,PS5,,,139.7378346,35.64834173,7
2342,PS6,,,139.7341571,35.68853184,7
2663,PS7,,,139.7437221,35.69955886,7
2905,PS8,,,139.7320875,35.69639833,7
3183,PS9,,,139.7100772,35.69111031,7
3459,PS10,,,139.7011,35.70142437,7
582,PS1,,,139.7673305,35.69131451,8
864,PS2,,,139.7708336,35.68048505,8
1156,PS3,,,139.7517799,35.67010159,8
1498,PS4,,,139.752673,35.66015422,8
2008,PS5,,,139.7378902,35.64831789,8
2343,PS6,,,139.7341778,35.68848361,8
